Fecha,Moneda, Valor
2021-12-17,EUR,4531.8300
2021-12-18,EUR,4531.8300
2021-12-19,EUR,4531.8300
2021-12-27,EUR,4512.8206
2021-12-28,EUR,4536.9324
2021-12-29,EUR,4547.9655
2021-12-30,EUR,4512.2467
2021-12-31,EUR,4512.2467
2022-01-01,EUR,4512.2467
2022-01-02,EUR,4512.2467
2022-01-03,EUR,4635.9626
2022-01-04,EUR,4606.4677
2022-01-05,EUR,4575.5473
2022-01-06,EUR,4570.4793
2022-01-07,EUR,4568.3011
2022-01-08,EUR,4568.3011
2022-01-09,EUR,4568.3011
2022-01-10,EUR,4568.3011
2022-01-11,EUR,4547.6064
2022-01-12,EUR,4513.9810
2022-01-13,EUR,4528.3435
2022-01-14,EUR,4571.5312
2022-01-15,EUR,4571.5312
2022-01-16,EUR,4571.5312
2022-01-17,EUR,4553.9591
2022-01-18,EUR,4584.7317
2022-01-19,EUR,4542.4813
2022-01-20,EUR,4513.4310
2022-01-21,EUR,4498.6876
2022-01-22,EUR,4498.6876
2022-01-23,EUR,4498.6876
2022-01-24,EUR,4496.1773
2022-01-25,EUR,4492.9122
2022-01-26,EUR,4451.9679
2022-01-27,EUR,4401.5486
2022-01-28,EUR,4435.8199
2022-01-29,EUR,4435.8199
2022-01-30,EUR,4435.8199
2022-01-31,EUR,4398.5096
2022-02-01,EUR,4417.9849
2022-02-02,EUR,4447.7310
2022-02-03,EUR,4460.1821
